time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,87,31,1,1
2026-04-26 00:00:00+00:00,23,8,0,0
2026-04-27 00:00:00+00:00,25,10,1,1
2026-04-28 00:00:00+00:00,17,7,0,0
2026-04-29 00:00:00+00:00,40,11,0,0
2026-04-30 00:00:00+00:00,23,7,0,0
2026-05-01 00:00:00+00:00,27,6,0,0
2026-05-02 00:00:00+00:00,25,6,9,1
2026-05-03 00:00:00+00:00,29,8,0,0
2026-05-04 00:00:00+00:00,22,7,4,1
2026-05-05 00:00:00+00:00,43,10,1,1
2026-05-06 00:00:00+00:00,10,4,1,1
2026-05-07 00:00:00+00:00,28,10,0,0
2026-05-08 00:00:00+00:00,19,9,0,0
