time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-19 00:00:00+00:00,44,10,10,2
2026-06-20 00:00:00+00:00,33,8,1,1
2026-06-21 00:00:00+00:00,44,12,0,0
2026-06-22 00:00:00+00:00,31,7,4,1
2026-06-23 00:00:00+00:00,58,15,32,1
2026-06-24 00:00:00+00:00,27,6,17,4
2026-06-25 00:00:00+00:00,33,8,2,1
2026-06-26 00:00:00+00:00,14,5,31,2
2026-06-27 00:00:00+00:00,18,8,0,0
2026-06-28 00:00:00+00:00,15,6,0,0
2026-06-29 00:00:00+00:00,165,63,6,2
2026-06-30 00:00:00+00:00,17,8,1,1
2026-07-01 00:00:00+00:00,17,8,1,1
2026-07-02 00:00:00+00:00,19,10,0,0
