url_path,views_total,views_unique
/grp-bork/samestr_flow/commits/main,15,1
/grp-bork/samestr_flow,11,2
/grp-bork/samestr_flow/commit/092479dc09b1360e2563884588170618d2dd7f34,3,1
/grp-bork/samestr_flow/commit/d6aef7e46431e6980abd39c2d77b032969ed6658,3,1
/grp-bork/samestr_flow/commit/2b61d8f2fe56ec89134e1f5b850275b868dc7caa,2,1
/grp-bork/samestr_flow/commit/3f91a06e30e527958f6deff01b2352ed19f17645,2,1
/grp-bork/samestr_flow/commit/94c01df71cf72b78a754cb078efca4bcbe520476,2,1
/grp-bork/samestr_flow/commit/1b243b6d8cdde5f5795845651546d428c34b804b,1,1
/grp-bork/samestr_flow/commit/f0073e1966fdc2d2dc39042ab4a9d6b16ea0ffe3,1,1
