url_path,views_total,views_unique
/grp-bork/samestr_flow/tree/main,10,1
/grp-bork/samestr_flow,7,3
/grp-bork/samestr_flow/tree/main/nevermore,7,1
/grp-bork/samestr_flow/tree/main/nevermore/modules,5,1
/grp-bork/samestr_flow/blob/main/metaphlow/modules/profilers/samestr.nf,4,1
/grp-bork/samestr_flow/tree/main/metaphlow,4,1
/grp-bork/samestr_flow/tree/main/bin,3,1
/grp-bork/samestr_flow/tree/main/config,3,1
/grp-bork/samestr_flow/tree/main/nevermore/workflows,3,1
/grp-bork/samestr_flow/blob/main/config/run.config,2,2
