url_path,views_total,views_unique
/grp-bork/samestr_flow/tree/main,12,1
/grp-bork/samestr_flow,7,4
/grp-bork/samestr_flow/blob/main/metaphlow/modules/profilers/samestr.nf,7,2
/grp-bork/samestr_flow/tree/main/nevermore,7,1
/grp-bork/samestr_flow/tree/main/metaphlow,5,1
/grp-bork/samestr_flow/tree/main/nevermore/modules,5,1
/grp-bork/samestr_flow/tree/main/bin,3,1
/grp-bork/samestr_flow/tree/main/config,3,1
/grp-bork/samestr_flow/tree/main/nevermore/bin,3,1
/grp-bork/samestr_flow/tree/main/nevermore/workflows,3,1
